Total_size,LotArea,Neighborhood,BldgType_clean,OverallQual,Age_at_sale,ExterQual,Outdoor_Porch_Size,YrSold,KitchenQual,Fireplaces,log_sales
1806,9084,Edwards,1Fam,4,59,TA,120,2009,TA,1,11.589886506106357
2228,8750,CollgCr,1Fam,7,13,Gd,120,2009,Gd,1,12.160028707028767
1685,10320,IDOTRR,1Fam,6,13,TA,57,2008,TA,0,11.813030057420567
4648,10437,NoRidge,1Fam,8,13,Gd,282,2008,Gd,1,12.765688433465597
1356,1680,BrDale,Twnhs,6,39,TA,0,2010,TA,0,11.385092093460344
2171,10007,NAmes,1Fam,5,2,Gd,0,2008,Gd,0,11.887931365593685
1772,7200,Crawfor,1Fam,7,8,TA,0,2008,TA,1,11.911701584927597
1788,17503,NAmes,1Fam,6,60,TA,192,2010,TA,1,11.487607656985938
2603,9937,Edwards,1Fam,5,10,TA,0,2009,TA,0,12.025749091398891
2485,12384,NWAmes,1Fam,7,31,TA,113,2007,TA,1,12.195517131590657
4700,46589,NoRidge,1Fam,8,4,Gd,593,2009,Gd,1,12.904207367601158
1968,13560,NAmes,1Fam,6,41,TA,0,2009,TA,2,11.608235644774552
2869,10012,Edwards,1Fam,4,36,TA,0,2008,TA,0,11.831379196088763
4952,20896,Somerst,1Fam,8,0,Gd,459,2006,Ex,1,12.955127458028414
2440,11194,Gilbert,1Fam,8,6,Gd,312,2006,Gd,1,12.348006141418841
3886,18450,NAmes,1Fam,6,28,TA,265,2007,TA,1,11.76756768334381
3392,8125,SawyerW,1Fam,6,10,TA,266,2008,Gd,1,12.173032791451973
3001,14175,Sawyer,1Fam,5,19,TA,304,2006,TA,1,12.031719258385396
1432,11600,Crawfor,1Fam,4,56,TA,0,2006,Fa,1,11.831379196088763
2209,8633,CollgCr,1Fam,6,4,Gd,135,2009,Gd,0,12.063932878369052
2220,6629,Edwards,1Fam,6,59,TA,147,2009,TA,0,11.54829260880752
2521,11250,Veenker,1Fam,6,29,Gd,240,2006,TA,1,12.013700752882718
3441,14442,Crawfor,1Fam,6,3,TA,87,2007,Gd,2,12.458774999085929
2412,9200,NAmes,1Fam,6,43,TA,426,2008,TA,1,11.84939770159144
2192,2289,NPkVill,Twnhs,6,31,TA,28,2009,TA,1,11.908340237224891
2553,9600,OldTown,1Fam,4,56,TA,0,2006,TA,0,11.37366339763672
1032,9022,OldTown,1Fam,5,3,Gd,316,2009,Gd,0,11.603679828238693
2880,11844,StoneBr,1Fam,8,1,Gd,404,2009,Gd,1,12.827992316801751
2387,9945,Sawyer,1Fam,5,46,TA,0,2007,TA,0,11.763684183317412
1849,8012,SawyerW,Twnhs,6,30,TA,80,2010,TA,1,11.870599909242044
1983,4500,SWISU,1Fam,5,9,TA,0,2009,TA,0,11.979385322467598
2725,2887,ClearCr,1Fam,6,11,TA,307,2008,Gd,1,12.061046873479915
3429,11248,CollgCr,1Fam,9,5,Gd,302,2007,Gd,1,12.560244459250788
2325,16770,NoRidge,1Fam,7,12,Gd,81,2010,TA,0,12.30591798049989
3677,5062,StoneBr,Twnhs,7,23,Gd,219,2007,Gd,1,12.24288661865289
2339,10207,Somerst,1Fam,7,0,Gd,249,2007,Gd,0,12.336552511980964
1821,5105,Somerst,Twnhs,7,3,Gd,60,2007,Gd,0,11.910358401381128
2931,8089,StoneBr,1Fam,8,0,Gd,140,2007,Gd,1,12.8790171187726
1842,7577,NridgHt,Twnhs,6,1,Gd,220,2007,Gd,1,12.17921519136029
1965,4426,CollgCr,Twnhs,6,4,Gd,149,2008,Gd,1,11.856515169360305
6603,21535,NoRidge,1Fam,10,12,Ex,432,2007,Ex,2,13.534473028231162
4112,26178,Timber,1Fam,7,16,Gd,347,2006,Gd,2,12.721885810807203
1399,5400,OldTown,1Fam,5,38,TA,0,2006,TA,0,11.594321103174222
2115,6120,BrkSide,1Fam,5,59,TA,112,2009,TA,0,11.86005499606543
2708,13811,Timber,1Fam,6,19,TA,125,2006,Gd,1,12.078239274020289
1437,6000,BrkSide,1Fam,5,56,TA,0,2006,TA,0,11.396391648714276
2217,6420,Edwards,1Fam,5,54,TA,0,2006,TA,0,11.72399643505017
1900,8450,Sawyer,1Fam,5,1,TA,560,2010,TA,1,11.83862560460953
1937,4282,Somerst,Twnhs,7,4,Gd,314,2008,Gd,0,12.185869938212655
3839,14331,Timber,1Fam,8,4,Gd,348,2006,Gd,1,12.652359748158593
1692,9600,NWAmes,1Fam,7,37,TA,0,2006,TA,0,11.84939770159144
3242,12438,StoneBr,1Fam,8,0,Ex,424,2006,Ex,1,12.799175708864519
2484,7630,OldTown,2fmCon,5,14,TA,344,2010,Gd,1,11.84939770159144
2802,8400,CollgCr,1Fam,7,5,Gd,35,2010,Gd,0,12.269047444691562
1092,5600,IDOTRR,2fmCon,4,60,Fa,0,2010,Fa,0,10.915088464214607
3782,115149,ClearCr,1Fam,7,5,TA,428,2007,Gd,2,12.618182296357007
2737,6240,NridgHt,Twnhs,8,3,Gd,230,2009,Gd,1,12.445089546000673
1856,9018,Gilbert,1Fam,7,0,Gd,124,2007,Gd,1,12.09815330331068
1312,7162,Sawyer,1Fam,5,42,TA,0,2008,TA,0,11.607326140391713
729,4130,BrkSide,1Fam,3,5,Gd,0,2008,TA,0,10.858998997563564
1562,8712,IDOTRR,1Fam,4,60,TA,68,2010,TA,0,11.540307141711446
2467,4671,StoneBr,Twnhs,8,19,Gd,288,2008,Gd,1,12.14950229404178
2325,9873,BrkSide,2fmCon,4,36,TA,288,2006,TA,0,11.76756768334381
2487,13517,Sawyer,1Fam,6,5,Gd,44,2010,Gd,0,11.779128505744886
1828,10140,NWAmes,1Fam,6,35,TA,0,2009,TA,1,12.013700752882718
3258,10800,OldTown,1Fam,7,9,TA,48,2007,TA,0,11.979799201207037
2701,10000,NWAmes,1Fam,5,8,TA,224,2008,Gd,1,11.964001084330445
4574,10542,NoRidge,1Fam,7,14,Gd,404,2008,Gd,1,12.739637756265655
1794,9920,CollgCr,1Fam,5,37,TA,0,2006,TA,1,11.763684183317412
3454,6563,StoneBr,1Fam,8,21,Gd,142,2006,Gd,1,12.524526376648708
1930,4426,CollgCr,Twnhs,6,6,Gd,160,2010,Gd,0,11.870599909242044
1518,8120,NAmes,1Fam,4,39,TA,0,2009,TA,0,11.732060994886899
2018,8172,Edwards,1Fam,4,36,TA,0,2008,TA,0,11.813030057420567
3700,13286,Edwards,1Fam,9,1,Ex,391,2009,Ex,1,12.676076274775909
2138,6960,NAmes,1Fam,4,39,TA,96,2009,Gd,0,11.699405031912846
3028,21695,Crawfor,1Fam,6,2,Gd,336,2009,Gd,1,12.310432660854417
2588,7314,CollgCr,1Fam,7,2,Gd,132,2009,Gd,0,12.178187442040638
2664,11475,NAmes,Duplex,5,51,TA,25,2009,TA,0,11.608235644774552
1539,6240,IDOTRR,1Fam,4,59,TA,23,2009,TA,0,11.542484267211773
3404,5389,StoneBr,Twnhs,8,14,Gd,389,2010,Gd,1,12.373703486914124
2370,9590,Timber,1Fam,7,4,Gd,182,2007,Gd,1,12.141534124392603
2824,11404,CollgCr,1Fam,7,9,Gd,276,2008,Gd,1,12.312682380588432
2002,10000,Sawyer,1Fam,5,26,TA,165,2009,TA,1,11.786001385032646
1248,8978,Sawyer,1Fam,5,39,TA,147,2007,TA,0,11.589886506106357
2478,10800,OldTown,1Fam,7,36,TA,341,2006,TA,2,12.0015054797889
1440,8544,NAmes,Duplex,3,56,TA,0,2006,TA,0,11.44571671527678
2601,10463,Gilbert,1Fam,8,1,Gd,116,2006,Gd,1,12.387977448827787
2400,10800,Edwards,Duplex,5,21,TA,120,2009,TA,0,12.095141084822892
2300,9313,CollgCr,1Fam,7,5,Gd,243,2009,Gd,0,12.154779351142624
1792,9600,OldTown,1Fam,5,5,TA,270,2007,TA,0,11.790557201568507
2032,6768,Sawyer,1Fam,6,12,TA,168,2008,Gd,0,11.863582336583399
1888,8450,SawyerW,1Fam,7,6,TA,175,2007,TA,0,12.095141084822892
2388,12886,Sawyer,1Fam,5,10,TA,302,2009,TA,1,12.072541252905651
2532,5395,StoneBr,Twnhs,8,15,Gd,96,2008,Gd,1,12.100712129872347
4201,8963,NWAmes,1Fam,8,12,Ex,204,2008,Gd,2,12.610870864650634
3110,8795,Gilbert,1Fam,7,9,Gd,278,2009,Gd,1,12.371587084007746
3504,11700,OldTown,1Fam,7,6,Gd,181,2009,Gd,1,12.491172637278908
3166,10593,NoRidge,1Fam,7,14,Gd,296,2010,Gd,1,12.46997418931655
1769,8405,Edwards,1Fam,4,59,TA,92,2009,TA,0,11.49272275765271
1140,8800,OldTown,1Fam,4,6,TA,160,2010,TA,0,11.477298287327077
1720,7750,Gilbert,1Fam,7,4,Gd,48,2007,Gd,0,11.99535161421452
3270,9236,CollgCr,1Fam,6,9,TA,195,2006,Gd,0,12.287652632522597
2976,10240,NridgHt,1Fam,8,1,Gd,244,2006,Ex,1,12.526342907575106
2377,7930,NAmes,1Fam,6,4,TA,219,2009,Gd,0,11.957611286231675
2292,3230,Somerst,Twnhs,6,10,TA,24,2009,TA,0,12.058152515453552
2366,10769,CollgCr,1Fam,8,2,Gd,249,2009,Gd,0,12.26434155365415
2264,11616,Sawyer,1Fam,6,32,TA,335,2010,TA,1,11.976030352524807
2490,2280,Somerst,Twnhs,7,9,TA,0,2008,TA,0,12.097373228606832
3403,12257,NoRidge,1Fam,8,12,Gd,320,2007,Gd,1,12.577636201962656
1776,9100,NAmes,1Fam,6,50,TA,0,2009,TA,0,11.755871643580617
2146,6911,BrkSide,1Fam,5,59,TA,0,2009,Fa,0,11.512925464970229
2185,8640,Somerst,1Fam,7,1,TA,214,2010,Gd,0,12.279323107269766
4384,9430,NoRidge,1Fam,8,10,Gd,128,2009,Gd,1,12.727838209334498
3469,9549,Veenker,Twnhs,8,10,Gd,30,2006,Ex,1,12.506177237980511
2098,14587,Somerst,1Fam,9,0,Gd,174,2008,Ex,1,12.484204257170104
2604,10421,NWAmes,1Fam,7,22,TA,294,2010,TA,1,12.188417710291453
2833,12508,Mitchel,1Fam,6,23,TA,245,2008,TA,0,11.982929094215963
2344,9100,CollgCr,1Fam,7,1,Gd,153,2006,Gd,1,12.28690119819279
5536,53504,StoneBr,1Fam,8,7,Ex,539,2010,Ex,1,13.195613839143922
2119,7252,Sawyer,1Fam,5,27,TA,120,2009,TA,0,11.812289042195847
2452,8877,Edwards,1Fam,4,55,TA,0,2006,TA,0,11.532728092266408
2338,7819,Edwards,1Fam,6,34,TA,144,2010,TA,1,11.580584113444043
1643,10150,NAmes,1Fam,5,49,TA,0,2007,TA,0,11.648330101976432
2868,14226,NridgHt,1Fam,8,1,Gd,360,2007,Gd,1,12.886641043883259
2482,4500,Mitchel,Twnhs,6,11,TA,247,2009,TA,0,11.99535161421452
2499,11210,CollgCr,1Fam,7,0,Gd,203,2006,Gd,0,12.308177868467327
2096,13350,Sawyer,1Fam,5,32,TA,241,2006,TA,1,11.867097278690842
2650,8400,SawyerW,Duplex,5,30,TA,0,2007,TA,2,11.877568578558138
2483,10530,Mitchel,Duplex,6,29,TA,0,2006,TA,0,11.813030057420567
1655,7875,Gilbert,1Fam,7,11,TA,241,2007,TA,1,12.078239274020289
2474,7153,SawyerW,1Fam,6,14,Gd,124,2006,Gd,0,12.077670930725649
2035,16285,CollgCr,1Fam,7,7,Gd,33,2009,Gd,0,12.139398512262181
2809,9101,Mitchel,1Fam,5,31,TA,333,2009,Gd,1,12.016726473799254
1484,6300,OldTown,1Fam,6,7,TA,291,2008,TA,1,11.759785542901755
2680,9790,NWAmes,1Fam,6,42,TA,0,2009,TA,1,11.992260421644849
2754,10800,OldTown,1Fam,5,60,TA,0,2010,TA,0,11.842229212112828
3358,10142,SawyerW,1Fam,7,6,Gd,45,2010,Gd,0,12.358793732547838
1182,6000,OldTown,1Fam,4,8,TA,0,2008,TA,0,11.588960151246226
3099,12205,ClearCr,1Fam,6,0,TA,301,2007,Gd,0,12.141534124392603
1558,3182,Blmngtn,Twnhs,7,3,Gd,116,2009,Gd,1,11.984178313616395
2140,11333,Mitchel,1Fam,6,31,TA,120,2007,TA,2,11.896826395162552
3330,9920,NoRidge,1Fam,7,10,Gd,310,2007,TA,1,12.50539915757667
1970,9158,Somerst,1Fam,8,0,Gd,298,2007,Gd,0,12.323855681186558
2304,10832,Gilbert,1Fam,7,12,Gd,189,2008,Gd,1,12.178187442040638
2040,8400,SawyerW,1Fam,6,29,TA,50,2010,TA,1,12.049418835484797
1813,8197,Sawyer,1Fam,6,30,TA,138,2007,TA,1,11.874090314181814
1583,7677,NAmes,1Fam,5,55,TA,0,2008,TA,0,11.608235644774552
3960,13518,NridgHt,1Fam,9,0,Ex,222,2009,Ex,2,13.091904169919621
2577,7200,SWISU,1Fam,5,57,TA,0,2007,Gd,2,12.072541252905651
2753,12798,ClearCr,1Fam,6,11,TA,517,2008,Gd,0,12.206072645530174
1833,4800,IDOTRR,1Fam,4,17,TA,0,2007,TA,0,11.607326140391713
2514,8199,CollgCr,1Fam,7,3,Gd,54,2008,Gd,1,12.14950229404178
3842,13891,NridgHt,1Fam,9,0,Ex,222,2009,Ex,1,13.275827535915461
2226,9000,NAmes,1Fam,5,52,TA,0,2006,TA,0,11.678439903447801
1982,12274,Somerst,1Fam,7,0,Gd,60,2008,Ex,0,12.33569641332368
2244,9750,NAmes,1Fam,5,39,TA,68,2006,TA,0,11.816726919301892
3413,21384,BrkSide,1Fam,5,5,TA,312,2009,Gd,1,12.31716669303576
2214,13400,NAmes,1Fam,5,40,TA,0,2006,TA,1,11.982616545377663
2498,8100,OldTown,1Fam,5,44,TA,196,2009,TA,0,11.571194373094205
2833,10140,NWAmes,1Fam,6,7,TA,265,2006,Gd,1,12.106252310247962
1930,4438,CollgCr,Twnhs,6,4,Gd,140,2008,Gd,1,11.881034786534624
1548,8712,IDOTRR,1Fam,5,58,Fa,0,2010,Fa,0,10.932981961904135
2351,9750,NAmes,1Fam,6,49,TA,0,2007,TA,0,11.969717200243734
1530,8248,Edwards,1Fam,5,56,TA,207,2006,Fa,0,11.661345470088502
2259,12137,CollgCr,1Fam,7,12,TA,34,2010,Gd,0,12.323411137947407
1769,11425,NAmes,1Fam,5,52,TA,0,2006,TA,1,11.827736204810263
3764,13265,Mitchel,1Fam,8,6,Gd,209,2008,Gd,2,12.509874099861838
1996,8816,ClearCr,1Fam,6,39,TA,0,2010,TA,0,11.951180395901384
2575,6371,NridgHt,Twnhs,7,0,Gd,227,2010,Gd,1,12.319401330837177
2235,7226,CollgCr,1Fam,7,5,Gd,45,2008,Gd,0,12.117241431823558
1512,6000,OldTown,2fmCon,4,56,Fa,32,2009,TA,0,11.440354772135393
2166,12394,Gilbert,1Fam,7,4,Gd,148,2007,Gd,1,12.323855681186558
1729,9900,SWISU,1Fam,6,59,TA,335,2009,TA,1,11.845819880243557
2265,11216,Somerst,1Fam,8,0,Gd,140,2006,Gd,1,12.3570755190667
4940,14803,NridgHt,1Fam,10,0,Ex,233,2008,Ex,1,12.86099861326992
1568,6130,BrkSide,1Fam,5,58,TA,0,2008,Gd,0,11.603679828238693
1981,8529,SawyerW,1Fam,7,8,Gd,329,2009,Gd,1,12.14950229404178
3677,28698,ClearCr,1Fam,5,42,TA,486,2009,TA,0,12.128111104060462
1623,2544,Somerst,Twnhs,7,1,Gd,166,2006,Gd,0,11.900905258737373
2890,11900,NAmes,1Fam,6,51,TA,0,2008,TA,2,12.01974306733868
1600,3180,Somerst,Twnhs,7,1,TA,166,2006,Gd,0,11.925035115797062
2925,9548,CollgCr,1Fam,7,7,Gd,231,2010,Gd,1,12.375815420117268
2529,10004,NAmes,1Fam,6,45,TA,0,2009,TA,0,12.025749091398891
2172,7875,NAmes,1Fam,5,47,TA,0,2008,TA,0,11.8490404949436
1945,9600,Sawyer,1Fam,4,15,TA,290,2010,Gd,0,11.759785542901755
2709,8100,OldTown,1Fam,5,34,TA,116,2007,TA,0,11.941455846009388
1581,1680,BrDale,Twnhs,6,35,TA,0,2008,TA,0,11.512925464970229
1451,9525,CollgCr,1Fam,5,2,TA,278,2008,Gd,0,11.877568578558138
1792,11767,Edwards,1Fam,5,13,TA,0,2008,TA,0,11.779128505744886
2038,12155,SWISU,1Fam,6,58,TA,0,2008,Fa,0,11.84939770159144
2225,10440,OldTown,1Fam,5,6,TA,148,2008,Gd,1,11.967180737247824
2506,9020,NAmes,1Fam,6,42,TA,129,2008,TA,0,12.071969661006694
1800,8000,NAmes,Duplex,5,46,TA,0,2007,TA,0,11.856515169360305
2136,12665,OldTown,1Fam,5,58,TA,418,2008,TA,1,11.94405831982697
3702,16647,Sawyer,1Fam,5,26,TA,0,2007,TA,2,12.049418835484797
2713,9317,SawyerW,1Fam,7,16,Gd,306,2009,Gd,1,12.269047444691562
1662,15523,CollgCr,1Fam,5,37,TA,0,2009,TA,1,11.801856756822442
2718,45600,ClearCr,1Fam,6,11,TA,526,2008,TA,1,12.388394202324129
2367,9600,Veenker,1Fam,6,13,Gd,213,2007,TA,1,12.138863895836725
1927,4435,CollgCr,Twnhs,6,4,Gd,140,2007,Gd,0,11.786762130599957
1856,3196,Blmngtn,Twnhs,8,3,Gd,163,2006,Gd,1,12.2783933071098
2250,7128,Crawfor,1Fam,7,57,TA,0,2007,TA,2,12.007621706806335
2654,12095,NAmes,1Fam,6,45,TA,180,2009,TA,1,11.970350312009105
3624,17920,Sawyer,1Fam,5,32,TA,418,2006,TA,1,12.043553716032399
1959,6897,Sawyer,1Fam,5,0,TA,104,2010,TA,0,11.751942365440728
2542,10970,CollgCr,1Fam,6,30,TA,0,2008,TA,0,11.898187865760873
1824,8125,Gilbert,1Fam,6,14,TA,36,2009,TA,1,12.066810578196666
1849,10400,NWAmes,1Fam,7,33,TA,0,2009,TA,1,11.931635799828413
3892,11029,NWAmes,1Fam,6,22,TA,65,2006,Gd,1,12.429216196844383
1642,7642,Crawfor,1Fam,7,9,Gd,240,2007,Gd,1,12.154516158615772
2384,11625,Sawyer,2fmCon,5,45,TA,0,2010,TA,0,11.786762130599957
1915,9672,SawyerW,1Fam,6,25,TA,0,2010,TA,0,11.931635799828413
2968,7931,NAmes,1Fam,5,50,TA,0,2009,TA,0,11.794337924408413
1901,8640,Somerst,1Fam,7,0,Gd,140,2008,Gd,0,12.431533509799543
2732,8750,NAmes,1Fam,5,39,TA,0,2009,TA,0,11.908340237224891
2516,10656,Timber,1Fam,8,0,Gd,272,2007,Gd,1,12.424806488355683
2596,6970,Sawyer,1Fam,4,46,TA,168,2007,Fa,0,11.76756768334381
2939,14762,Gilbert,1Fam,5,56,TA,264,2006,TA,1,12.037653993905211
3273,9938,SawyerW,1Fam,7,16,Gd,246,2010,Gd,1,12.371587084007746
1202,6600,NAmes,1Fam,5,47,TA,0,2009,TA,0,11.603679828238693
2710,8750,CollgCr,1Fam,6,12,TA,77,2010,Gd,0,12.20856952572876
1324,8892,NAmes,1Fam,5,12,Gd,196,2008,Gd,0,11.661345470088502
1699,12144,NAmes,1Fam,5,59,Gd,28,2009,TA,1,11.79810440720389
1331,5720,OldTown,1Fam,5,59,TA,26,2009,TA,0,11.104957226643945
3224,9000,Somerst,1Fam,8,0,Gd,572,2007,Ex,1,12.623061104072981
2321,25286,Mitchel,1Fam,4,44,TA,0,2007,TA,0,11.792449349720545
4132,8834,NridgHt,1Fam,9,4,Gd,184,2009,Ex,1,12.765688433465597
2630,11782,Sawyer,1Fam,5,15,TA,192,2010,Gd,0,11.904967552746252
1846,7000,CollgCr,1Fam,5,4,Gd,0,2009,TA,0,11.824079893607152
2520,7024,Edwards,1Fam,5,1,TA,49,2007,TA,0,11.964001084330445
3019,13758,Timber,1Fam,7,16,Gd,204,2007,Gd,1,12.141534124392603
1982,9636,Gilbert,1Fam,6,16,TA,382,2009,TA,1,12.089538829274222
2189,6204,SWISU,1Fam,4,56,Gd,188,2006,TA,0,11.682668239557323
1612,7150,NAmes,1Fam,5,42,TA,0,2009,TA,0,11.512925464970229
3453,5119,Somerst,Twnhs,9,8,Gd,162,2008,Gd,1,12.703509032177148
2828,8393,NAmes,Duplex,5,1,TA,326,2006,TA,0,11.884489021402711
1693,16466,Edwards,1Fam,5,53,TA,121,2008,TA,0,11.816726919301892
4012,15865,NAmes,1Fam,8,37,Gd,288,2007,Gd,1,12.498742259492994
3034,12160,NAmes,1Fam,6,56,TA,0,2009,TA,1,11.915051671812877
1500,8064,NAmes,1Fam,5,1,TA,0,2007,TA,1,11.719126295554126
2849,11184,Sawyer,1Fam,6,31,TA,243,2009,TA,1,12.058152515453552
1995,8414,Sawyer,1Fam,6,3,TA,192,2006,TA,0,11.947949375319936
2801,13284,Sawyer,1Fam,5,54,TA,627,2008,TA,1,12.013700752882718
1935,7018,SawyerW,Duplex,5,30,TA,0,2009,TA,0,11.685684782260491
2679,7056,NAmes,1Fam,6,45,TA,50,2008,TA,1,11.84939770159144
1563,8765,IDOTRR,1Fam,4,56,TA,28,2006,TA,0,11.575900264131617
2768,7018,SawyerW,Duplex,5,30,TA,154,2009,TA,0,11.870271183889114
5372,12919,NridgHt,1Fam,9,0,Ex,67,2010,Ex,2,13.323926946863102
1989,6993,Sawyer,1Fam,5,12,TA,0,2006,TA,1,11.813030057420567
1864,7340,NAmes,1Fam,4,36,TA,0,2007,TA,0,11.608235644774552
2922,8712,NAmes,1Fam,5,9,TA,0,2009,TA,0,11.938193200374572
1902,7875,Gilbert,1Fam,7,3,Gd,75,2006,Gd,1,12.100712129872347
2360,14859,Gilbert,1Fam,7,0,Gd,204,2006,Gd,1,12.388394202324129
1789,6173,Sawyer,1Fam,5,40,TA,0,2007,TA,0,11.740061037553975
1987,9920,NAmes,1Fam,5,56,TA,0,2010,TA,0,11.759785542901755
2564,13501,Somerst,1Fam,8,1,Gd,60,2007,Gd,1,12.449018824140563
2460,11500,Crawfor,1Fam,7,19,Gd,0,2006,Gd,1,12.429216196844383
2011,8885,Mitchel,1Fam,5,23,TA,164,2006,TA,0,11.782952602183288
1874,12589,Gilbert,1Fam,6,4,Gd,60,2009,Gd,1,12.066810578196666
3197,11600,NAmes,Duplex,5,50,TA,0,2010,TA,0,11.946654038351252
1716,9286,CollgCr,1Fam,5,20,TA,173,2009,Gd,0,11.874090314181814
1954,6120,BrkSide,1Fam,5,56,TA,0,2006,TA,0,11.385092093460344
3157,6270,Crawfor,Duplex,5,57,TA,0,2007,TA,0,11.884489021402711
2046,3000,Somerst,Twnhs,6,0,Gd,234,2009,Gd,0,12.065274916913605
1378,2001,MeadowV,Twnhs,4,37,TA,0,2007,TA,0,11.225243392518447
838,9000,IDOTRR,1Fam,2,56,TA,0,2006,TA,0,10.47194980911048
2572,17140,Edwards,1Fam,4,53,TA,0,2009,TA,0,11.813030057420567
3642,13125,SawyerW,1Fam,7,16,Gd,264,2007,Gd,1,12.380025952653611
2954,11029,NAmes,1Fam,6,6,Ex,51,2008,TA,1,12.081076155355488
3006,8462,SawyerW,1Fam,6,13,Gd,387,2007,Gd,0,12.211060187041213
3284,8777,Edwards,Duplex,5,5,TA,70,2008,TA,0,11.890676734510876
1741,10237,Gilbert,1Fam,6,0,Gd,100,2006,Gd,1,12.043494890772815
3156,8012,SawyerW,Twnhs,6,14,Gd,69,2008,Gd,1,12.170445467887022
3984,10240,NWAmes,1Fam,6,26,TA,515,2006,TA,1,12.24288661865289
2526,15611,NWAmes,1Fam,5,31,TA,180,2008,Ex,0,12.072541252905651
3030,11999,NridgHt,1Fam,8,3,Gd,204,2007,Ex,1,12.560244459250788
3016,9900,NWAmes,1Fam,7,40,TA,43,2008,TA,1,12.078239274020289
2310,11838,CollgCr,1Fam,8,8,Gd,353,2009,Ex,1,12.373703486914124
2878,13006,Gilbert,1Fam,7,9,TA,0,2006,Gd,1,12.310432660854417
2092,8925,Timber,1Fam,8,2,Gd,118,2009,Gd,0,12.211060187041213
2158,9100,NAmes,1Fam,5,44,TA,0,2009,TA,0,11.67419361256635
2693,11670,Somerst,1Fam,9,1,Ex,191,2007,Ex,1,12.676076274775909
2090,8487,CollgCr,1Fam,7,5,Gd,228,2009,Gd,0,12.154779351142624
2999,27650,NAmes,1Fam,7,1,TA,0,2008,Gd,1,12.396693005138824
1275,5825,BrkSide,1Fam,4,53,TA,0,2006,TA,0,11.288531131754366
2588,10083,SawyerW,1Fam,7,6,Gd,41,2009,Gd,0,12.127570417375216
3001,9675,Somerst,1Fam,7,4,Gd,48,2009,Gd,1,12.441144767709657
3294,8760,CollgCr,1Fam,7,0,Gd,90,2006,Gd,0,12.38755635142507
2752,24090,ClearCr,1Fam,7,60,TA,56,2010,TA,2,12.406561506279576
3634,12640,Mitchel,Duplex,6,30,TA,40,2006,TA,0,11.924372644755941
3222,8755,Gilbert,1Fam,7,10,Gd,0,2009,Gd,1,12.273731294003989
2880,7711,Edwards,Duplex,4,30,TA,321,2007,TA,0,11.918390573078392
2208,25000,Mitchel,Duplex,5,40,TA,0,2007,TA,0,11.870599909242044
2334,14375,Timber,1Fam,6,51,TA,118,2009,Gd,1,11.831379196088763
3293,8820,OldTown,1Fam,5,13,TA,48,2009,TA,0,11.73526869611367
2982,8163,NAmes,1Fam,5,47,TA,86,2006,TA,1,11.870599909242044
3737,14536,Timber,1Fam,8,4,Gd,252,2007,Gd,1,12.506177237980511
2250,14006,CollgCr,1Fam,7,4,Gd,240,2006,Gd,1,12.167851432709975
3039,9360,NWAmes,1Fam,6,4,TA,0,2010,Gd,1,12.193493863323313
2131,7200,NAmes,1Fam,5,5,TA,194,2007,Gd,0,11.76756768334381
1906,7800,SawyerW,1Fam,5,41,TA,421,2006,TA,0,11.694413341015606
1824,7200,CollgCr,1Fam,5,6,TA,192,2009,TA,0,11.804848531679264
3253,11075,Mitchel,1Fam,5,39,TA,494,2008,TA,1,12.05524975579559
1925,9400,Edwards,Duplex,6,31,TA,0,2006,TA,0,11.755871643580617
2934,7136,Crawfor,Duplex,6,57,TA,0,2007,TA,0,11.884489021402711
1976,1300,Blueste,Twnhs,6,29,TA,150,2009,TA,1,11.728036844587175
2050,7420,Sawyer,1Fam,5,45,TA,0,2007,TA,0,11.790557201568507
2567,8450,CollgCr,1Fam,7,4,Gd,39,2007,Gd,0,12.128111104060462
2504,2572,Somerst,Twnhs,7,11,Gd,44,2010,Gd,0,11.951180395901384
1554,7207,BrkSide,1Fam,5,2,TA,117,2010,TA,0,11.665646551987892
4387,12227,NWAmes,1Fam,6,13,TA,832,2008,TA,1,12.513557345278134
2544,2308,NPkVill,Twnhs,6,31,TA,48,2007,Gd,1,11.951180395901384
2502,11923,CollgCr,1Fam,9,2,Gd,424,2009,Ex,0,12.384218830913648
3028,11316,Timber,1Fam,7,7,Gd,40,2010,Gd,1,12.277928082630602
1877,10237,Gilbert,1Fam,6,0,Gd,72,2007,Gd,1,12.09458226949681
1992,9600,Crawfor,1Fam,5,59,Gd,70,2009,TA,2,11.982929094215963
2260,7390,NAmes,1Fam,5,53,TA,0,2008,TA,0,11.813030057420567
968,5925,OldTown,1Fam,3,59,TA,0,2009,TA,0,10.542706391070517
1872,10382,NAmes,2fmCon,6,48,TA,0,2006,TA,0,11.84939770159144
1192,10800,NAmes,1Fam,4,56,TA,0,2006,TA,0,11.813030057420567
2667,2268,NridgHt,Twnhs,7,5,Gd,27,2009,Gd,0,12.061046873479915
1182,7892,SawyerW,Twnhs,6,31,TA,28,2010,TA,1,11.507912923146684
1908,11639,Somerst,1Fam,7,0,Gd,120,2008,Gd,0,12.111761966058932
2551,11414,BrkSide,1Fam,7,16,TA,644,2009,Gd,0,12.028738630247258
2513,2651,Somerst,Twnhs,7,6,Gd,203,2006,Gd,0,12.013700752882718
869,5900,BrkSide,1Fam,4,48,TA,0,2006,Fa,0,11.356271654924852
